"fen","material_cmp","castle_white_kingside","castle_white_queenside","castle_black_kingside","castle_black_queenside"
"8/1B6/8/5K2/5P1p/1P4k1/8/8 w - - 1 44","1","0","0","0","0"
"1r4k1/4bppp/4p3/p3N3/2qPN3/1bP4P/1P1R1PP1/2Q3K1 b - - 1 31","1","0","0","0","0"
"2r2rk1/4ppbp/pBpp2p1/2P5/8/3BN3/P5PP/2R2RK1 b - - 0 24","1","0","0","0","0"
"1r3nk1/4r1p1/2qp4/2p4p/p1P5/3Q1NKP/5P2/8 w - - 0 38","-1","0","0","0","0"
"2r4r/pp1b1k1p/3pq1p1/3np1P1/4PP1Q/8/PPPN4/2KR1R2 w - - 0 25","-1","0","0","0","0"
"rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 1 5","0","1","1","1","1"
"r6r/p2k2pp/4p3/2q1Q1B1/8/8/PPP2PPP/2K4R w - - 0 20","0","0","0","0","0"
"r3k3/pp2qpp1/2np1n2/4p1N1/2b4r/2P4P/P1P1QP2/3R1RK1 w q - 0 17","-1","0","0","0","1"
"r1b2rk1/1p3ppp/1p6/6q1/1P1PN3/B7/P3BPPP/R2Q1RK1 b - - 0 18","1","0","0","0","0"
"r2qbrk1/pppn2pp/3bN3/3pNp2/3PnP2/3BP3/PPP3PP/R1BQ1RK1 b - - 0 11","1","0","0","0","0"
"2r3k1/pp2rpb1/1n4p1/1B4N1/8/8/q5PP/1R1Q1R1K w - - 2 23","-1","0","0","0","0"
"r3r2k/ppp3pp/2nb4/3qppN1/8/P1PP2BP/1P3PP1/3Q1RK1 w - - 2 22","-1","0","0","0","0"
"5rk1/pp3qp1/2p1p3/2b1PrB1/4Q2P/2P1P1R1/PP6/2KR4 b - - 2 24","1","0","0","0","0"
"rnbqk2r/ppp3bp/4p1p1/5p2/2BP1B2/2P2N2/PP4PP/R2Q1RK1 b kq - 1 10","-1","0","0","1","1"
"1qr1r1k1/3nbppp/p3pn2/1ppb4/8/PP1PPN1P/1BQNBPP1/1R2R1K1 b - - 1 17","0","0","0","0","0"
"r2qk2r/pp1n1ppp/3bpn2/2p1N3/8/5Q2/PPPP2PP/RNB1K2R w KQkq - 0 10","-1","1","1","1","1"
"r1bqk2r/p4ppp/5n2/3p4/4p3/P1P1B3/2P1BPPP/R2QK2R b KQkq - 1 12","0","1","1","1","1"
"r3k2r/pp1n1pp1/2p1pq1p/3p4/2PP2P1/2b1PN2/PP2BPP1/R2QK2R w KQkq - 0 11","0","1","1","1","1"
"r2k3r/1pp2pp1/1nn1b2p/2b1p3/p1P1N3/3P1N1P/PP2QPP1/2KR1B1R w - - 0 14","1","0","0","0","0"
"8/3Q3P/p7/4N3/8/4P3/1k3PP1/6K1 b - - 0 36","1","0","0","0","0"
"r1bqr1k1/pp1n1pbp/2p2np1/4p3/3p4/P2PPN1P/1PPBNPP1/R1QBKR2 b Q - 1 12","0","0","1","0","0"
"1r1qkb1r/3p1ppp/2n1pn2/2p5/4P3/1PN2N2/PBQP1PPP/R3KR2 b Qk - 2 11","1","0","1","1","0"
"5R2/8/8/8/8/4k1P1/6K1/1r6 b - - 3 52","1","0","0","0","0"
"r4rk1/1bq1bpp1/p2p1n1p/Ppp1p3/4P3/2PP1N1P/1PB2PP1/RN1Q1RK1 w - - 0 15","0","0","0","0","0"
"4k2r/5ppp/8/3Qp1b1/2PnPP2/1q1BK3/5P1P/7R b k - 0 23","-1","0","0","1","0"
"rnq2r2/pp3p1k/2p1ppbp/b6P/2BPP3/P1N2PN1/1P1Q2P1/R3R1K1 b - - 0 16","0","0","0","0","0"
"1R3n2/5pk1/p4bp1/1p1P3p/2P5/1P3B1P/P5P1/1K6 w - - 0 38","1","0","0","0","0"
"rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN2P2/PPP3PP/R1BQKB1R w KQkq - 2 8","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r2qkbnr/p3pp1p/3p2p1/2p5/3NP3/5Q2/PPPP1PPP/R1B1K1NR b KQkq - 0 9","1","1","1","1","1"
"r2qkbnr/pp1n1ppp/4p3/3p4/8/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 7","0","0","0","1","1"
"r2k4/ppp1pp1p/7n/5b2/3p4/3P1P2/PPP4P/RN2KBNR w KQ - 0 13","1","1","1","0","0"
"rnbqk2r/p3ppbp/1p4p1/4N3/3ppB2/2P1P3/PP2BPPP/R2QK2R w KQkq - 0 10","-1","1","1","1","1"
"r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3","0","1","1","1","1"
"8/4k3/N1K5/1P2p3/5p1p/5PP1/7P/8 w - - 0 35","1","0","0","0","0"
"r7/kpp3p1/p2p3r/P2Qp3/1nB2q2/6RP/1PP4K/R7 w - - 4 29","-1","0","0","0","0"
"rnbqk1nr/pppp1ppp/8/4p3/1bP5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq - 0 3","0","1","1","1","1"
"r1bqkbnr/1pp2ppp/p1np4/4p3/2P5/P1NPP3/1P3PPP/R1BQKBNR b KQkq - 0 5","0","1","1","1","1"
"rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3","0","1","1","1","1"
"rnbqkb1r/pp3ppp/5n2/2pp4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 6","0","1","1","1","1"
"8/pp6/5p2/1P1p4/P3n3/2bN2k1/2K5/8 b - - 0 41","-1","0","0","0","0"
"8/1b3pk1/p5q1/1p6/8/8/P6K/8 b - - 1 41","-1","0","0","0","0"
"rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3","0","1","1","1","1"
"r2q1rk1/p4p1p/6p1/1p1p2P1/2p3Q1/2P2P2/P4PK1/R6R w - - 0 21","-1","0","0","0","0"
"r1bqk2r/pp1nbppp/3ppn2/1B4B1/3QP3/2N2N2/PPP2PPP/R3K2R w KQkq - 2 8","0","1","1","1","1"
"5rk1/2p2pp1/3p3p/3P4/2P2b2/8/P5PP/1R5K w - - 0 27","-1","0","0","0","0"
"r1b1k2r/3p1pp1/p1p1p3/4P2p/2Pq2nB/3B3P/P3QPP1/2R2RK1 b kq - 0 16","-1","0","0","1","1"
"4rrk1/1p5p/2p3p1/8/3BB3/b1P2PP1/4N2P/R5K1 b - - 3 25","1","0","0","0","0"
"rnb1kbnr/pppp1ppp/4pq2/8/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3","0","1","1","1","1"
"r3r3/pp4k1/2p3P1/8/1PnN3R/P1P5/7P/R6K w - - 0 29","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rnb2rk1/pp4pp/2pb4/3p4/3Pp2q/2N1PP2/PPQN2PP/R1BK3R b - - 2 12","0","0","0","0","0"
"8/pp2R3/6kp/6p1/1P5P/6P1/P1r2r2/4R1K1 b - - 0 38","0","0","0","0","0"
"3r4/p5k1/5np1/2p5/2p1Pp2/P1Pq4/KP4P1/1R6 w - - 2 36","-1","0","0","0","0"
"r3kb1r/ppp2ppp/5n2/4p3/2B1P1b1/2NK1n2/PPP2PPP/R1B4R w kq - 0 10","-1","0","0","1","1"
"r1bq1rk1/p3bppp/1p2pn2/3p4/P7/2NPPN2/1P1B1PPP/R2Q1RK1 w - - 0 12","0","0","0","0","0"
"r2qk2r/ppp3pp/2nb1n2/3p4/4p1b1/2PP2P1/PP2P1BP/RNBQNRK1 w kq - 1 10","0","0","0","1","1"
"6R1/4n2P/pp6/1k6/8/8/P4PP1/6K1 w - - 3 38","1","0","0","0","0"
"rnb1kb1r/ppp1pppp/8/3q4/8/5N2/PPPP1PPP/R1BQKB1R b KQkq - 1 5","0","1","1","1","1"
"r3q3/pbpn3R/1p3rk1/5pN1/5p2/2P1P3/PPQN2P1/2KR4 w - - 0 21","0","0","0","0","0"
"6k1/pp6/4b3/5pp1/1P6/r3N1KP/5P2/8 w - - 0 49","-1","0","0","0","0"
"r4k2/2R4p/8/2R1B1p1/8/1N3P2/1Pn1K1P1/r7 b - - 0 38","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1bq1rk1/pp3pp1/2np1b1p/4p3/2B1P3/5N1P/PPP2PP1/RN1QK2R w KQ - 2 11","0","1","1","0","0"
"3rr1k1/1p1b1pp1/1ppPqnnp/8/1PB1P3/P4PQP/1B1N2P1/R4RK1 b - - 2 21","1","0","0","0","0"
"r5k1/pppb1ppp/8/2N4B/1n1p4/1P1P3P/PB3q2/RKR5 b - - 5 21","-1","0","0","0","0"
"r2qk2r/pp2bpp1/2n1p3/2ppPn1p/5P2/2PP1B1P/PP1N2P1/R1BQ1RK1 w kq - 2 14","0","0","0","1","1"
"r2qr1k1/p4ppp/2pbbn2/1p2p3/4N3/1P1B1P2/PBPP2PP/2KRQ2R w - - 0 15","0","0","0","0","0"
"2kr1b1r/pppb1ppp/2n2q2/4p1B1/3P4/2P5/PP1Q1PPP/RN2KB1R b KQ - 1 10","0","1","1","0","0"
"r1bq1rk1/pp3ppp/2np1n2/8/2P5/P1b1P3/1PQ2PPP/R1B1KB1R w KQ - 0 11","-1","1","1","0","0"
"6k1/r4pp1/2p1p3/2PpP3/p1b2PP1/P1P5/5K2/3R3R b - - 0 26","1","0","0","0","0"
"rnb1k1nr/ppppq1pp/5p2/8/4PB2/2Q2N2/PPP2PPP/R3KB1R b KQkq - 0 8","0","1","1","1","1"
"r2qkbnr/p4ppp/1pn1p3/1N1pPb2/3B4/5N2/PPP1BPPP/R2QK2R b KQkq - 2 9","0","1","1","1","1"
"1k6/8/ppQ5/1bpP3p/8/P3P3/1P4PP/R5K1 w - - 2 29","1","0","0","0","0"
"8/4kp1R/8/2n4P/8/4KP2/8/6NR b - - 0 35","1","0","0","0","0"
"r3k1nr/pb1p1p1p/1pnNp3/4P3/8/3BB3/P1P2PPP/R5K1 b kq - 1 14","-1","0","0","1","1"
"rn2kbnr/1ppq1ppp/p7/3p4/8/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 7","0","1","1","1","1"
"4r3/pb1kb2R/1pp1pB2/3p4/3P1N2/8/PPP4P/6K1 w - - 6 27","0","0","0","0","0"
"rn1qk1nr/1bppppbp/p5p1/6B1/1p6/1PPP1N2/P2QBPPP/RN2K2R w KQkq - 0 9","-1","1","1","1","1"
"rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3","0","1","1","1","1"
"rnbq2k1/p1ppn1b1/1p2p2p/4P3/2PP1rpP/2NB1N2/PP3PP1/R2QK2R w KQ - 0 13","-1","1","1","0","0"
"r1b3k1/ppp2p1p/2p4Q/8/1b2r3/2N5/PPP1BPPP/R3K2R b KQ - 1 12","1","1","1","0","0"
"rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4","0","1","1","1","1"
"1k1r1bnr/pbpnq3/1p1p1p2/4p1pp/1PP2P2/P1N1PN2/1BQPB1PP/1R3RK1 b - - 1 14","0","0","0","0","0"
"rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq - 1 4","0","1","1","1","1"
"Q7/8/3qr3/2p2R2/Pk1pP3/1P1P2P1/2P4P/6K1 w - - 7 44","1","0","0","0","0"
"r4Q1k/Qp4pp/2p5/7q/5n2/7P/PPP3PN/R4R1K b - - 0 28","1","0","0","0","0"
"r3kb1r/pp1qp1pp/5n2/5p2/3P4/1Q2PN2/PP3PPP/R1B1K2R b KQkq - 1 12","1","1","1","1","1"
"r4rk1/p2qnpb1/1p2p1pp/8/3pNP2/P2P4/BPP3PP/R2Q1RK1 w - - 2 21","0","0","0","0","0"
"rn1qkbnr/pp2pppp/2p5/3pPb2/5P2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 4","0","1","1","1","1"
"1k2r3/1pp3p1/1b1p4/pP1Ppn1p/P1P2P2/1q6/1B3PQ1/R4RK1 w - - 3 26","1","0","0","0","0"
"r1bqk1nr/p4ppp/4p3/bN1p4/8/P7/1PPB1PPP/R2QKB1R b KQkq - 2 10","0","1","1","1","1"
"2kr3r/pppn3p/4q1p1/3pPp2/5P2/1P1B1PN1/PBP1N1Q1/R5K1 b - - 3 19","1","0","0","0","0"
"8/p5p1/2p5/2P3bk/3B2Rp/6rP/5K2/8 w - - 8 37","-1","0","0","0","0"
"8/8/5K2/2q5/1k6/8/8/8 w - - 28 60","-1","0","0","0","0"
"rn1qkbnr/ppp1pppp/8/3p4/2PP2b1/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3","0","1","1","1","1"
"rnb1k2r/1ppp1ppp/4pn2/8/3P2P1/2P5/1N3PBP/5RK1 w kq - 1 16","-1","0","0","1","1"
"rn1qkbnr/ppp2ppp/8/3pp2P/6b1/8/PPPPPP2/RNBQKBNR w KQkq - 0 4","-1","1","1","1","1"
"r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2N1PN2/PPPB1PPP/R2QKB1R w KQkq - 1 6","0","1","1","1","1"
"r1bqkb1r/pppp1ppp/5n2/8/1n2P3/2Q5/PPPN1PPP/R1B1KBNR b KQkq - 6 6","0","1","1","1","1"
"r1k3r1/ppp2R1p/5B2/3Q4/8/8/P1PP1PPP/RN4K1 b - - 0 21","1","0","0","0","0"
"8/p1pk4/3r2R1/7P/5p2/5P2/PP2KB2/8 b - - 2 28","1","0","0","0","0"
"r2q1rk1/p1pppp1p/1p4pn/7P/4P3/4Q3/PPBN1P2/2KR4 b - - 0 14","-1","0","0","0","0"
"r1bqkb1r/ppp2ppp/2np1n2/4p3/PP1P4/2P5/4PPPP/RNBQKBNR w KQkq - 0 5","0","1","1","1","1"
"rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2","0","1","1","1","1"
"r2qk2r/pppbbpp1/5n1p/4Q3/2B5/2N5/PPP2PPP/R1B1R1K1 b kq - 2 11","0","0","0","1","1"
"r1bqk2r/ppb2ppp/2n2n2/3p4/2pP4/P1N2N1P/1PP1BPP1/R1BQ1RK1 w kq - 4 10","0","0","0","1","1"
"2rq1rk1/pp2nppp/2n1p3/3pP3/3P4/3Q1N2/PP1N1PPP/2R2RK1 w - - 5 13","0","0","0","0","0"
"r1bq1rk1/pp1pnppp/2p2n2/4p1N1/2B1P3/3PP2P/PPP3P1/RN1QK2R w KQ - 0 9","0","1","1","0","0"
"1k1R4/p6R/1p6/1P4p1/1br2p2/6PP/6K1/8 b - - 1 42","1","0","0","0","0"
"rn1qk1nr/ppp2ppp/4p3/3p1b2/3P1P1N/2P1P3/PP4PP/RNBQKB1R b KQkq - 0 6","1","1","1","1","1"
"8/6b1/p1p1p2p/1p1pPkpP/3P4/P1P2KB1/1P4P1/8 b - - 0 33","0","0","0","0","0"
"rn2k2r/ppqbnppp/2p1p3/4P3/2BP4/2N2N2/PP3PPP/R2QK2R w KQkq - 1 10","0","1","1","1","1"
"r1b1k2r/1p1p1pp1/p3p3/8/P1PNP1p1/3BP3/1P3KPq/R3QR2 b kq - 3 21","1","0","0","1","1"
"r1q2rk1/1b3p1p/p3p1p1/3p4/P4B2/1B1R3Q/1bP2PPP/4R1K1 b - - 1 19","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"5k2/8/8/p5Pp/P2p4/1PpP1KP1/2r2N2/8 w - - 0 40","-1","0","0","0","0"
"r4rk1/1p1qbpp1/p2p3p/2p5/2BnPn2/2NQ1P1P/PP3P1K/R1B3R1 w - - 6 18","-1","0","0","0","0"
"r1b1r1k1/pp1n2pp/1qp2p2/4p3/N2P3R/1P1B2P1/P1P2PP1/R2QK3 b Q - 1 15","0","0","1","0","0"
"r2k3r/ppp1b3/2np2Q1/6B1/3q4/1BN5/PPP2P1P/R5K1 b - - 2 21","-1","0","0","0","0"
"rnbqkb1r/ppp2pp1/3p1n1p/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5","0","1","1","1","1"
"r4rk1/pp3pp1/2pp4/3PpqB1/2P1b3/8/PPP1QP2/2KR2R1 w - - 3 22","-1","0","0","0","0"
"8/5pk1/6p1/7p/1p1qBp2/5P1P/P1Q4K/8 b - - 5 47","1","0","0","0","0"
"r2q1rk1/p4ppp/1p2pn2/2np4/1b4PP/2N1PP2/PPPB4/2KR1QNR w - - 0 13","0","0","0","0","0"
"r3r1k1/p5pp/5p2/2RP1P2/4q3/7P/P2BB1P1/4K2R b - - 0 26","-1","0","0","0","0"
"2r4k/1p1q2Bp/p5p1/5p2/3p4/1Q1P1P1P/PP4P1/5RK1 b - - 0 28","1","0","0","0","0"
"6r1/7K/7P/6k1/2p5/2B5/4p3/8 w - - 0 58","-1","0","0","0","0"
"r3k2r/p3np1p/1qp1pbp1/2p1P3/3p1P2/3P1R1P/PPP3P1/R1B1Q1K1 w kq - 0 15","-1","0","0","1","1"
"r6r/pppqn1k1/3p3p/4B1p1/8/2PRPB2/PPQ2PPP/2K4R b - - 0 19","1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/8/4N3/8/PPPP1PPP/R1BQKBNR b KQkq - 0 3","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"6kr/ppp2p2/3p4/1b1P1N2/2PQP1p1/6P1/PP4R1/2qB1KRr w - - 1 34","1","0","0","0","0"
"rnb1kb1r/pp2pppp/1q1p1n2/2pP2B1/4P3/2N5/PPP2PPP/R2QKBNR b KQkq - 0 5","0","1","1","1","1"
"rnbqkbnr/pppp2pp/4p3/5pB1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3","0","1","1","1","1"
"rnbqk2r/ppp2ppp/3p1n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5","0","1","1","1","1"
"r2qkb1r/ppp2ppp/2n1pn2/2Pp1b2/3P1B2/2N1P3/PP3PPP/R2QKBNR b KQkq - 2 6","0","1","1","1","1"
"r1bqkb1r/pppp1Npp/2n5/4p3/3Pn3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5","0","1","1","1","1"
"r2qkb1r/pp1bpppp/2np1n2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 5 8","0","1","1","1","1"
"5r2/8/3p4/8/3K1p2/8/R2k3P/8 b - - 1 47","-1","0","0","0","0"
"8/2p5/1p1p2pp/4r3/8/5p1k/3K4/8 w - - 0 59","-1","0","0","0","0"
"rnb5/pppp1k1p/3r2p1/5p2/7P/2P5/PP4KP/RN1R4 b - - 0 23","-1","0","0","0","0"
"r2q1rk1/pp1bppbp/2np1np1/8/3NPP2/2N1B1P1/PPP3BP/R2QK2R w KQ - 1 10","0","1","1","0","0"
"2kr1b2/pp6/2p1pn2/8/2P5/5Q1P/PP4PK/3R4 w - - 0 27","1","0","0","0","0"
"r4rk1/1bq1bppp/p2ppn2/1pp1n3/4PB2/P2P1NN1/BPP2PPP/R2QR1K1 w - - 10 13","0","0","0","0","0"
"8/p3kpR1/1p2p1p1/3p4/3n2P1/r7/8/4K3 w - - 0 41","-1","0","0","0","0"
"1k1r1r2/pp3Ppp/3b4/3B4/8/1P2P1P1/P3K2P/8 b - - 2 26","-1","0","0","0","0"
"r1r3k1/5ppp/pp1bp3/2p5/4PP2/P2PB3/1P2K1PP/2R4R w - - 0 18","0","0","0","0","0"
"r1bqk1nr/pppp2pp/5p2/4n3/1b2P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6","0","1","1","1","1"
"r7/pp2kp1p/4p3/1BnnB3/1P6/P6P/2K2Pr1/7R b - - 0 22","-1","0","0","0","0"
"r1bqk1nr/1ppp1ppp/p5n1/2bPp3/P1P1P3/2N2N2/1P3PPP/R1BQKB1R b KQkq - 2 7","0","1","1","1","1"
"1r3rk1/4ppb1/1qp3p1/3pP3/p4PP1/1PN5/P1P1Q3/2KR3R w - - 0 22","0","0","0","0","0"
"2Q5/1p2bpkp/1r2pnp1/3pN3/8/4P1P1/3q1P1P/4R1K1 w - - 0 27","-1","0","0","0","0"
"2kr4/4n2p/pp2P3/2bb1pp1/1p1B4/8/PPQ2PPP/3R2K1 b - - 0 25","1","0","0","0","0"
"3q2k1/5ppp/5n2/4r3/8/1r2P1P1/NP5P/R1B1R1K1 w - - 2 28","-1","0","0","0","0"
"r1b1k2r/p1p2ppp/1p3q2/2b5/2Q5/8/PPP2PPP/RNB2RK1 b kq - 1 11","0","0","0","1","1"
"rnbqk1nr/pp2ppbp/3p2p1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5","0","1","1","1","1"
"rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4","0","1","1","1","1"
"r2qkb1r/pp2n2p/2n1Ppp1/1BQ5/4P3/2N4P/PP3PP1/R1B1K2R b KQkq - 0 12","1","1","1","1","1"
"2b2rk1/ppN3b1/3pNn1p/5p2/2PPp3/3BP3/PP3P1R/R1B1K3 b Q - 0 19","1","0","1","0","0"
"rnb1kbnr/ppppqppp/4p3/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3","0","1","1","1","1"
"rnb1r1k1/ppppqppp/3b4/2n5/8/2NP1N2/PPP1BPPP/R1BQ1RK1 w - - 5 9","0","0","0","0","0"
"3r4/p1k2p2/Pp1b1n2/1Pp1p1pr/8/3PP1PP/1BP2PB1/R4RK1 w - - 0 28","1","0","0","0","0"
"6k1/2p2pPp/1p1p1P1K/8/2r1r3/8/8/2q5 w - - 2 46","-1","0","0","0","0"
"2kr3r/3nppbp/bq1p4/1N4P1/P2NP3/8/1PP1QP2/2KR3R w - - 3 20","-1","0","0","0","0"
"r1b1kbnr/pp3ppp/8/2pqP3/8/8/PPPP2PP/RNBQKB1R w KQkq - 0 7","1","1","1","1","1"
"8/5p1p/6p1/3p4/2r1kP2/PR2P3/5KP1/8 w - - 0 37","0","0","0","0","0"
"rn1qk2r/ppp1bppp/5p2/3p1b2/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 2 6","0","1","1","1","1"
"rnb1kb1r/pppp1p1p/5np1/8/3P4/2N2N2/PPP1BPPP/R1B1K2R b KQkq - 1 7","0","1","1","1","1"
"r1bq1rk1/ppp1bppp/2n1pn2/8/8/N1P3P1/PP1N1PBP/R1BQK2R w KQ - 4 10","-1","1","1","0","0"
"rn1qk2r/pbp2ppp/1p1ppn2/8/2PP4/2P1PN2/PB3PPP/R2QKB1R w KQkq - 0 8","0","1","1","1","1"
"rnbq1rk1/ppp2ppp/3b1p2/8/2pP4/2N1PN2/PP3PPP/R2QKB1R b KQ - 1 7","-1","1","1","0","0"
"rnbqkb1r/pp2pppp/2p5/6B1/2PPp3/8/PP2PPPP/R2QKBNR w KQkq - 0 6","0","1","1","1","1"
"r1bq1rk1/ppbn1pp1/2p4p/8/3PN3/6P1/PP3PBP/R1BQ1RK1 w - - 1 13","0","0","0","0","0"
"r3kb2/1b6/p3p1pB/1p2P3/2p1n3/5N2/PPP1BPPP/R4RK1 b - - 0 21","1","0","0","0","0"
"rn1qkb1r/pbpppp1p/1p4p1/8/3PP3/2PB1N2/P1P2PPP/R1BQK2R w KQkq - 0 7","0","1","1","1","1"
"r7/pn3kqp/1p1p1np1/2p3B1/4Pp2/2PP4/PP4PP/R4RK1 w - - 0 23","-1","0","0","0","0"
"2r2rk1/pp5p/2pb2RP/4p3/4Q2q/1P2P3/PBPP4/2KR4 b - - 0 22","1","0","0","0","0"
"r1b1kbnr/pp3ppp/2qPp3/2p5/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 7","1","1","1","1","1"
"r3r1k1/1pqbnpbp/p2p1np1/3Pp1B1/4P3/1P1BNN1P/P4PP1/R2QR1K1 b - - 2 15","0","0","0","0","0"
"r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4","0","1","1","1","1"
"rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3","0","1","1","1","1"
"2k1r3/1p1q1p2/7p/1P1p1p2/P7/4r1P1/4Q1KP/2R5 b - - 1 34","-1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"4bk2/R7/6n1/1p1pPp2/pP1K4/8/8/8 w - - 6 69","-1","0","0","0","0"
"r1bqkb1r/pppp1ppp/2n5/4P3/3pn3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6","-1","1","1","1","1"
"r2k3r/ppp1R1p1/3n3p/8/1nP5/8/P4NPP/R1B3K1 w - - 0 21","-1","0","0","0","0"
"rnb2k1r/pp2nppp/4p3/2ppP3/q2P2Q1/P1P5/2PBNPPP/R2K1B1R b - - 8 10","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r1b1k2r/pp4pp/2p1nn2/2q5/3B4/2N5/PPP1Q1PP/3R1RK1 b - - 3 19","-1","0","0","0","0"
"r1bqkb1r/pp1p1pp1/2n1p1np/2p5/2B1PN2/2PP1Q2/PP3PPP/RNB1K2R b KQkq - 2 7","0","1","1","1","1"
"2rqr1k1/1p1b1pbp/p1p2np1/1P1p4/P2Pn3/B1NBP3/1Q1N1PPP/1RR3K1 b - - 0 18","0","0","0","0","0"
"r1bq3r/pppp1kpp/5n2/4p3/3nP3/8/PPP2PPP/RNBQ1RK1 w - - 2 8","-1","0","0","0","0"
"r4rk1/ppp2pbp/6p1/8/8/2P1BP1P/PP3P2/R4RK1 b - - 0 17","0","0","0","0","0"
"r2q1rk1/ppp2pp1/4p2p/3PPbb1/3P4/2P1P3/P3B1PP/R1BQ1RK1 w - - 1 13","1","0","0","0","0"
"1r4k1/p6p/2q3p1/8/2r4P/2Qp4/P4PP1/2R3K1 w - - 0 32","-1","0","0","0","0"
"rn1q1r2/p1pp4/1pk1p1Bp/6b1/3Q2P1/2P5/PP1N1P2/R1B1K1Nb b Q - 4 19","-1","0","1","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r1bqk2r/pppp1ppp/2n5/b3P3/2BP1Bn1/2P2N2/PP4PP/RN1Q1RK1 b kq - 0 9","0","0","0","1","1"
